slug,sponsor,drug,indication,application_type,pdufa_date,pdufa_matches_market_date,review_type,designations,prior_crl,crl_date,crl_reason_class,manufacturing_inspection_required,inspection_location,adcom_scheduled,risk_category,outcome,outcome_date,outcome_reason,eventually_approved,eventually_approved_date,source_url,enrichment_notes
fda-approves-outlook-therapeutics-ons-5010-for-wet-amd-by-august-31,Outlook Therapeutics,ONS-5010 / LYTENAVA (bevacizumab-vikg),Wet (neovascular) age-related macular degeneration,BLA,2025-08-27,yes,standard,none,yes,2023-08-29,CMC/manufacturing,yes,domestic,no,CMC/manufacturing refile,CRL,2025-08-28,"FDA issued a CRL on the resubmitted BLA, declining approval of ONS-5010 for wet AMD in present form.",pending,pending,https://ir.outlooktherapeutics.com/news-releases/news-release-details/outlook-therapeutics-provides-regulatory-update-us-food-and-0; https://www.sec.gov/Archives/edgar/data/0001649989/000110465923096669/tm2325118d1_ex99-1.htm; https://www.globenewswire.com/news-release/2026/06/01/3304397/0/en/outlook-therapeutics-announces-resubmission-of-biologics-license-application-to-u-s-fda-for-ons-5010-lytenava-bevacizumab-vikg.html,"Multiple CRLs (Aug 2023 CMC; Aug 2025; then 2025-12-31). Fully domestic US supply chain (drug substance at Outlook/Oncobiologics, Cranbury NJ) -> inspection_location domestic. Approved in EU/UK. Note the 2025-12-31 CRL was reportedly efficacy-based, not CMC. eventually_approved updated no->pending: Outlook RESUBMITTED the BLA 2026-06-01, so a decision is again pending. crl_date approximate."
fda-approves-lenz-therapeutics-lnz100-for-presbyopia-by-august-31,LENZ Therapeutics,LNZ100 / VIZZ (aceclidine ophthalmic solution 1.44%),Presbyopia in adults,NDA,2025-08-08,yes,standard,none,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-07-31,FDA approved VIZZ (aceclidine 1.44%) for presbyopia ~1 week ahead of the Aug 8 PDUFA; first aceclidine-based eye drop.,yes,2025-07-31,https://ir.lenz-tx.com/news-events/press-releases/detail/39/lenz-therapeutics-announces-us-fda-approval-of-vizz-for-the-treatment-of-presbyopia; https://www.pharmacytimes.com/view/vizz-becomes-first-only-fda-approved-aceclidine-based-eye-drop-for-presbyopia,Clean first-cycle approval; CLARITY 1/2 met endpoints.
fda-approves-leqembi-auto-injection-for-early-alzheimers-by-august-31,Eisai / Biogen,LEQEMBI IQLIK (lecanemab-irmb) SC autoinjector,Maintenance dosing for early Alzheimer's disease,BLA,2025-08-31,yes,standard,Fast Track,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-08-29,"FDA approved the LEQEMBI IQLIK once-weekly SC autoinjector for maintenance dosing, ahead of the Aug 31 resolve-by.",yes,2025-08-29,https://www.eisai.com/news/2025/news202559.html; https://media-us.eisai.com/2025-08-29-FDA-Approves-LEQEMBI-R-IQLIK-TM-lecanemab-irmb-Subcutaneous-Injection-for-Maintenance-Dosing-for-the-Treatment-of-Early-Alzheimers-Disease,Maintenance-dosing SC autoinjector supplement; a separate SC starting-dose application was still under review into 2026 (do not conflate).
fda-approves-kiniksa-regeneron-arcalyst-06-19-2026,Kiniksa Pharmaceuticals (Regeneron originator),Arcalyst (rilonacept),No new indication; manufacturing technology-transfer supplement (recurrent pericarditis/CAPS/DIRA),sBLA,2026-06-19,yes,standard,none,no,n/a,n/a,yes,foreign,no,CMC/manufacturing refile,pending,pending,PDUFA 2026-06-19 after today (2026-06-09); no FDA action yet.,pending,pending,https://investors.kiniksa.com/node/12651/pdf; https://www.stocktitan.net/sec-filings/KNSA/10-q-kiniksa-pharmaceuticals-international-plc-quarterly-earnings-rep-c506fc494ddd.html,sBLA to transfer drug-substance manufacturing to Samsung Biologics (South Korea = foreign inspection). Pure CMC-comparability bet; no clinical/indication change.
fda-approves-arcutis-zoryve-cream-06-29-2026,Arcutis Biotherapeutics,Zoryve (roflumilast) cream 0.3%,Plaque psoriasis in children ages 2-5 (pediatric expansion),sNDA,2026-06-29,yes,standard,none,no,n/a,n/a,no,n/a,no,Clean desk review,pending,pending,PDUFA 2026-06-29 after today; no FDA action yet.,pending,pending,https://www.globenewswire.com/news-release/2025/11/17/3189050/0/en/FDA-Accepts-Supplemental-New-Drug-Application-for-Arcutis-ZORYVE-roflumilast-Cream-0-3-for-the-Treatment-of-Plaque-Psoriasis-in-Children-Ages-2-to-5.html; https://www.arcutis.com/fda-accepts-supplemental-new-drug-application-for-arcutis-zoryve-roflumilast-cream-0-3-for-the-treatment-of-plaque-psoriasis-in-children-ages-2-to-5/,Age expansion (2-5) of already-approved cream; low-risk label expansion.
fda-approves-camurus-oclaiz-06-10-2026,Camurus AB,"Oclaiz (octreotide SC depot, CAM2029)",Acromegaly,NDA,2026-06-10,yes,standard,none,yes,2024-10-22,CMC/manufacturing,yes,foreign,no,CMC/manufacturing refile,pending,pending,PDUFA 2026-06-10 (one day after today); no FDA action yet.,pending,pending,https://www.camurus.com/media/press-releases/2026/camurus-announces-fda-acceptance-of-nda-resubmission-for-oclaiz-for-the-treatment-of-acromegaly/; https://www.camurus.com/media/press-releases/2024/camurus-provides-regulatory-update-on-the-us-nda-for-cam2029-in-acromegaly/,Original NDA CRL 2024-10-22 tied SOLELY to cGMP inspection deficiencies at a foreign third-party manufacturer. Resubmitted Dec 2025; PDUFA 2026-06-10. Classic CMC refile.
fda-approves-daraxonrasib-this-year,Revolution Medicines,Daraxonrasib (RMC-6236),Previously treated metastatic RAS-mutant pancreatic cancer (PDAC),NDA,unknown,unknown,priority,Breakthrough;Orphan;Priority Review Voucher,no,n/a,n/a,unknown,unknown,no,Timeline bet,pending,pending,NDA submission anticipated ~late May 2026; no PDUFA publicly assigned; 2026 approval is a timeline bet on the National Priority Voucher pilot.,pending,pending,https://ir.revmed.com/news-releases/news-release-details/revolution-medicines-statement-fda-expanded-access-authorization; https://www.geneonline.com/revolution-medicines-ships-daraxonrasib-fda-submission-anticipated-by-may-30-2026/,Ph3 RASolute 302 hit OS. Breakthrough + Orphan; National Priority Voucher (Oct 2025) for compressed ~1-2 mo review. No PDUFA confirmed yet.
fda-approves-ionis-olezarsen-06-30-2026,Ionis Pharmaceuticals,Tryngolza (olezarsen),Severe hypertriglyceridemia (sHTG; TG>=500 mg/dL),sNDA,2026-06-30,yes,priority,none,no,n/a,n/a,no,n/a,no,Clean desk review,pending,pending,PDUFA 2026-06-30 after today; no FDA action yet.,pending,pending,https://ir.ionis.com/news-releases/news-release-details/olezarsen-snda-accepted-fda-priority-review-treatment-severe; https://www.businesswire.com/news/home/20260226109569/en/Olezarsen-sNDA-accepted-by-the-FDA-for-the-treatment-of-severe-hypertriglyceridemia-sHTG,"Expansion of already-approved Tryngolza (apoC-III antisense, approved for FCS) to sHTG; Ph3 CORE/CORE2. Priority review; label expansion = clean review."
fda-approves-retatrutide-this-year,Eli Lilly,"Retatrutide (LY3437943, GGG triple agonist)",Chronic weight management / obesity,NDA,n/a,no,unknown,none,no,n/a,n/a,unknown,unknown,no,Timeline bet,pending,pending,"No NDA filed as of June 2026; submission guided Q4 2026, so approval by 2026-12-31 is effectively impossible.",pending,pending,https://www.sec.gov/Archives/edgar/data/0000059478/000005947826000043/q126lillysalesandearningsp.htm; https://www.retaweightloss.com/article/when-will-retatrutide-be-fda-approved-2026-timeline-update,No NDA filed; Ph3 TRIUMPH-1 data 2026-05-21. Filing guided Q4 2026; approval not before late 2027. Market structurally a 'No' for 2026.
fda-approves-unicycive-oxylanthanum-carbonate-06-29-2026,Unicycive Therapeutics,oxylanthanum carbonate (OLC),Hyperphosphatemia in CKD on dialysis,505(b)(2),2026-06-29,yes,standard,none,yes,2025-06-30,CMC/manufacturing,yes,unknown,no,CMC/manufacturing refile,pending,pending,No FDA action as of 2026-06-09; PDUFA 2026-06-29.,pending,pending,https://ir.unicycive.com/news/detail/118/update---unicycive-therapeutics-announces-fda-acceptance-of; https://ir.unicycive.com/news/detail/104/unicycive-therapeutics-announces-receipt-of-complete; https://ir.unicycive.com/news/detail/111/unicycive-therapeutics-provides-update-from-fda-type-a,REFILE of the OLC NDA after the single-deficiency CMC CRL dated 2025-06-30 (third-party vendor compliance). Resubmitted Dec 2025; accepted 2026-01-29 as Class II; PDUFA 2026-06-29. Backup manufacturer with clean inspection history qualified. Some outlets reported 06-27.
fda-approves-viridian-therapeutics-veligrotug-06-30-2026,Viridian Therapeutics,veligrotug (VRDN-001),Thyroid eye disease (TED),BLA,2026-06-30,yes,priority,Breakthrough,no,n/a,n/a,unknown,unknown,no,Clean desk review,pending,pending,No FDA action as of 2026-06-09; PDUFA 2026-06-30.,pending,pending,https://investors.viridiantherapeutics.com/news/news-details/2025/Viridian-Therapeutics-Announces-BLA-Acceptance-and-Priority-Review-for-Veligrotug-for-the-Treatment-of-Thyroid-Eye-Disease/default.aspx; https://www.businesswire.com/news/home/20251222159703/en/Viridian-Therapeutics-Announces-BLA-Acceptance-and-Priority-Review-for-Veligrotug-for-the-Treatment-of-Thyroid-Eye-Disease,"Original BLA, no prior CRL. Accepted 2025-12-22 priority review; Breakthrough (May 2025). Ph3 THRIVE/THRIVE-2."
